                                                                                                                                                                                                                                                                                                                                                       2 Mar 2020 12:02:49
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-SunSat2


Entrance Pass Number      Entrance Time (UTCG)      Entrance Altitude (km)    Entrance Latitude (deg)    Entrance Longitude (deg)    Entrance Flux intensity (m^-2*sec^-1*Sterad^-1)    Exit Pass Number        Exit Time (UTCG)        Exit Altitude (km)    Exit Latitude (deg)    Exit Longitude (deg)    Exit Flux intensity (m^-2*sec^-1*Sterad^-1)    Duration (sec)
                  70    24 Feb 2020 20:07:54.973               1693.127403                    -29.404                     -20.788                                        7891826.172                  71    24 Feb 2020 20:25:49.837           1691.239120                 22.976                 -38.299                                    7891875.610          1074.864
                  71    24 Feb 2020 22:05:05.956               1696.171336                    -38.279                     -47.077                                        7892236.938                  72    24 Feb 2020 22:23:17.151           1689.385588                 14.796                 -65.551                                    7891936.646          1091.195
                  72    25 Feb 2020 00:04:22.171               1697.206848                    -41.106                     -75.776                                        7892047.729                  73    25 Feb 2020 00:23:09.543           1689.187139                 13.674                 -95.245                                    7891896.973          1127.372
                  73    25 Feb 2020 02:06:57.238               1694.799388                    -34.417                    -108.930                                        7891873.169                  74    25 Feb 2020 02:24:59.641           1690.092311                 18.287                -126.854                                    7892136.230          1082.403
                  74    25 Feb 2020 03:13:01.777               1689.843288                     17.129                      49.554                                        7892016.602                  74    25 Feb 2020 03:25:55.234           1690.635315                -20.617                  37.310                                    7891829.834           773.456
                  74    25 Feb 2020 04:10:54.851               1691.428264                    -23.676                    -143.196                                        7892080.078                  75    25 Feb 2020 04:27:23.202           1691.660709                 24.516                -159.112                                    7891820.068           988.351
                  75    25 Feb 2020 05:10:34.174               1691.812740                     25.053                      22.274                                        7892198.486                  75    25 Feb 2020 05:26:47.339           1691.087038                -22.401                   6.618                                    7891821.899           973.165
                  75    25 Feb 2020 06:15:47.179               1688.664916                    -10.191                    -177.829                                        7891843.262                  76    25 Feb 2020 06:28:16.138           1692.184922                 26.335                 170.151                                    7891823.730           748.959
                  76    25 Feb 2020 07:09:53.797               1692.612715                     27.756                      -6.778                                        7892219.849                  76    25 Feb 2020 07:30:12.641           1693.840260                -31.596                 -26.929                                    7891829.834          1218.844
                  77    25 Feb 2020 09:11:50.848               1691.199702                     22.828                     -38.661                                        7891820.068                  77    25 Feb 2020 09:33:39.365           1697.085030                -40.776                 -61.095                                    7891820.068          1308.517
                  78    25 Feb 2020 11:15:11.013               1689.214822                     13.835                     -71.802                                        7891820.068                  78    25 Feb 2020 11:33:22.325           1696.516309                -39.227                 -90.406                                    7891820.068          1091.312
                  79    25 Feb 2020 13:15:20.890               1689.261714                     14.105                    -101.777                                        7891896.973                  79    25 Feb 2020 13:31:10.798           1694.032207                -32.171                -117.356                                    7892154.541           949.908
                  79    25 Feb 2020 14:15:51.190               1689.075491                    -13.003                      62.829                                        7891821.289                  80    25 Feb 2020 14:25:02.439           1689.229221                 13.919                  54.225                                    7891820.068           551.250
                  80    25 Feb 2020 15:14:00.496               1690.200777                     18.772                    -130.272                                        7891831.055                  80    25 Feb 2020 15:28:22.599           1691.322014                -23.285                -144.020                                    7892127.686           862.102
                  80    25 Feb 2020 16:13:28.818               1690.652709                    -20.688                      35.358                                        7891826.782                  81    25 Feb 2020 16:29:22.719           1692.035984                 25.828                  20.019                                    7892084.351           953.902
                  81    25 Feb 2020 17:12:18.429               1691.651071                     24.481                    -158.321                                        7892066.040                  81    25 Feb 2020 17:25:11.461           1689.112891                -13.231                -170.645                                    7891820.679           773.033
